Message,Category,Priority
TULONG PO MAY BALI SA BINTI,Medical,High
deep scratch sa mata,Medical,High
dislocated elbow,Medical,High
BUNTIS NEED HELP,Medical,High
nasugatan ng pako,Medical,High
fractured tibia,Medical,High
TULONG PO MAY SUGAT SA KATAWAN,Medical,High
severe abrasion,Medical,High
laceration sa lip,Medical,High
MANGANGANAK NA PLEASE,Medical,High
burn sa chest,Medical,High
broken clavicle,Medical,High
TULONG PO MAY BALI,Medical,High
deep wound sa foot,Medical,High
dislocated joint,Medical,High
BUNTIS PAIN,Medical,High
nasugatan ng glass,Medical,High
fractured bone,Medical,High
TULONG PO SUGAT,Medical,High
severe swelling,Medical,High
laceration wound,Medical,High
LABOR PAINS,Medical,High
burn injury,Medical,High
broken bone,Medical,High
TULONG PO FRACTURE,Medical,High
deep cut,Medical,High
dislocated,Medical,High
BUNTIS HELP,Medical,High
sugat malalim,Medical,High
fracture sa hand,Medical,High
May hika ang anak ko naubusan ng inhaler pero nakakahinga pa naman,Medical,Medium
tumaas ang bp ng lola ko nahihilo,Medical,Medium
nasugatan sa braso need lang ng bandage,Medical,Medium
PANIC ATTACK PO HINDI MAKALMA YUNG KAPATID KO,Medical,Medium
may lagnat yung baby 39 degrees,Medical,Medium
sprained ankle masakit ilakad pero kaya pa,Medical,Medium
ALLERGY ATTACK NAMAMAGA MATA DAHIL SA ALIKABOK,Medical,Medium
minor burn sa daliri napaso sa kandila,Medical,Medium
nagha-hyperventilate sa takot need paper bag,Medical,Medium
DIARRHEA DAHIL SA MARUMING TUBIG SA MALANDAY,Medical,Medium
sugat sa tuhod nadapa sa takbo,Medical,Medium
asthma attack mild lang need nebulizer,Medical,Medium
HIGH BLOOD PRESSURE SUMASAKIT BATOK,Medical,Medium
nalulula sa taas ng building nahihilo,Medical,Medium
masakit ang tiyan parang food poisoning,Medical,Medium
HINDI MAKATULOG SA TAKOT NEED CALMING,Medical,Medium
may rashes sa balat makati sobra,Medical,Medium
stiff neck hindi lingunin,Medical,Medium
UBO NG UBO MAY PLEMA MATANDA,Medical,Medium
minor cut sa daliri dumudugo konti,Medical,Medium
anxiety attack nanginginig kamay,Medical,Medium
SORE EYES DAHIL SA USOK AT ALIKABOK,Medical,Medium
nasusuka dahil sa hilo ng lindol,Medical,Medium
mild concussion medyo hilo lang,Medical,Medium
FEVER AND CHILLS SA EVACUATION AREA,Medical,Medium
skin infection sa sugat namumula,Medical,Medium
migraine sobrang sakit ng ulo,Medical,Medium
HYPERACIDITY SA GUTOM MASAKIT TYAN,Medical,Medium
muscle cramps sa binti sa kakatakbo,Medical,Medium
namamaga ang ngipin masakit,Medical,Medium
ASTHMA PERO MAY GAMOT NAMAN,Medical,Medium
gasgas sa siko medyo mahapdi,Medical,Medium
heat exhaustion nahihilo sa init,Medical,Medium
NERBYOS PO GRABE PANGINGINIG,Medical,Medium
sinisipon at nilalagnat bata,Medical,Medium
mild dehydration need water,Medical,Medium
SORE THROAT MASAKIT LUMUNOK,Medical,Medium
sugat sa paa maliit lang,Medical,Medium
panic attack umiiyak,Medical,Medium
DIZZINESS AFTERSHOCK,Medical,Medium
may bukol sa noo nauntog,Medical,Medium
skin rash sa braso,Medical,Medium
HIGH BLOOD NEED CAPTOPRIL,Medical,Medium
back pain sa kakabuhat,Medical,Medium
minor sprain sa wrist,Medical,Medium
ASTHMA ATTACK MILD,Medical,Medium
pagod na pagod need vitamins,Medical,Medium
eye irritation sa alikabok,Medical,Medium
FEVER SA BATA,Medical,Medium
nausea nasusuka,Medical,Medium
muscle strain sa likod,Medical,Medium
ALLERGY SA BALAT,Medical,Medium
sugat sa kamay need betadine,Medical,Medium
anxiety nanginginig,Medical,Medium
HEADACHE MASAKIT ULO,Medical,Medium
ubo at sipon,Medical,Medium
stomach ache,Medical,Medium
HIKA NEED INHALER,Medical,Medium
gasgas sa tuhod,Medical,Medium
heat rash,Medical,Medium
NERVOUS BREAKDOWN MILD,Medical,Medium
lagnat sinat,Medical,Medium
dehydration mild,Medical,Medium
SORE EYES,Medical,Medium
sugat sa daliri,Medical,Medium
panic umiiyak,Medical,Medium
DIZZY NAHIHILO,Medical,Medium
bukol sa ulo,Medical,Medium
rashes makati,Medical,Medium
BP MATAAS,Medical,Medium
sakit likod,Medical,Medium
sprain ankle,Medical,Medium
ASTHMA MILD,Medical,Medium
exhaustion,Medical,Medium
eye pain,Medical,Medium
FEVER,Medical,Medium
vomiting,Medical,Medium
muscle pain,Medical,Medium
ALLERGY,Medical,Medium
cut finger,Medical,Medium
shaking,Medical,Medium
MIGRAINE,Medical,Medium
cough,Medical,Medium
stomach pain,Medical,Medium
ASTHMA,Medical,Medium
scrape,Medical,Medium
prickly heat,Medical,Medium
NERVES,Medical,Medium
feverish,Medical,Medium
thirsty,Medical,Medium
RED EYES,Medical,Medium
small wound,Medical,Medium
crying,Medical,Medium
NAHIHILO,Medical,Medium
bukol,Medical,Medium
itchy,Medical,Medium
BP UP,Medical,Medium
back ache,Medical,Medium
twisted ankle,Medical,Medium
May band-aid po ba kayo gasgas lang sa kamay,Medical,Low
nahihilo lang po sa gutom okay naman ako,Medical,Low
masakit ulo ko dahil sa puyat,Medical,Low
NEED VITAMINS PO PARA SA MGA BATA,Medical,Low
nanghihina lang po sa takot,Medical,Low
may kagat ng lamok makati,Medical,Low
GUSTO KO LANG PO MAGPA-BP CHECK NORMAL NAMAN PAKIRAMDAM,Medical,Low
masakit katawan sa paghiga sa sahig,Medical,Low
pahingi po ng paracetamol para sa sakit ng ulo,Medical,Low
STRESS LANG PO ITO KAYA MASAKIT DIBDIB,Medical,Low
napuwing lang po mata ko,Medical,Low
gasgas sa tuhod nadapa bata,Medical,Low
NEED ALCOHOL PARA SA KAMAY,Medical,Low
medyo masakit lalamunan,Medical,Low
pagod lang po need pahinga,Medical,Low
MAY GAMOT PO BA SA SAKIT NG NGIPIN MILD LANG,Medical,Low
nangangalay ang braso,Medical,Low
maliit na sugat sa daliri paper cut,Medical,Low
NEED WATER NAHIHILO SA INIT,Medical,Low
kurot sa braso,Medical,Low
masakit paa sa kakalakad,Medical,Low
MAY FACE MASK PO BA KAYO SA ALIKABOK,Medical,Low
sinok ng sinok bata,Medical,Low
dry lips need water,Medical,Low
NEED BIOGESIC PO MASAKIT ULO,Medical,Low
nangangati lalamunan,Medical,Low
pasa sa binti maliit lang,Medical,Low
STRESSED LANG PO KAMI,Medical,Low
masakit balakang,Medical,Low
may sipon konti,Medical,Low
NEED NEOLOZAN PO,Medical,Low
pagod na mata,Medical,Low
gasgas sa siko,Medical,Low
MAY KONTING LAGNAT PARANG SINAT,Medical,Low
nangangalay likod,Medical,Low
maliit na hiwa,Medical,Low
NEED REST LANG PO,Medical,Low
kagat ng langgam,Medical,Low
masakit talampakan,Medical,Low
MAY EXTRA FACEMASK PO,Medical,Low
hikab ng hikab,Medical,Low
dry skin,Medical,Low
NEED PAIN KILLER MILD,Medical,Low
nangangati ilong,Medical,Low
pasa sa braso,Medical,Low
ANXIOUS LANG PO,Medical,Low
masakit leeg,Medical,Low
may ubo konti,Medical,Low
NEED VITAMIN C,Medical,Low
pagod na isip,Medical,Low
gasgas sa binti,Medical,Low
MAY SINAT KONTI,Medical,Low
nangangalay balikat,Medical,Low
maliit na galos,Medical,Low
NEED SLEEP PO,Medical,Low
kagat ng insekto,Medical,Low
masakit binti,Medical,Low
MAY ALCOHOL PO,Medical,Low
gutom lang po,Medical,Low
uhaw lang,Medical,Low
NEED ASPIRIN,Medical,Low
nangangati mata,Medical,Low
pasa sa hita,Medical,Low
WORRIED LANG PO,Medical,Low
masakit kamay,Medical,Low
may plema konti,Medical,Low
NEED SUPPLEMENTS,Medical,Low
pagod na katawan,Medical,Low
gasgas sa muka,Medical,Low
MAY TRANGKASO PO BA,Medical,Low
nangangalay paa,Medical,Low
maliit na sugat,Medical,Low
NEED NAP,Medical,Low
kagat ng surot,Medical,Low
masakit tuhod,Medical,Low
MAY SABON PO,Medical,Low
gutom na bata,Medical,Low
uhaw na matanda,Medical,Low
NEED MEDICINE,Medical,Low
nangangati balat,Medical,Low
pasa sa likod,Medical,Low
SCARED LANG PO,Medical,Low
masakit braso,Medical,Low
may sipon bata,Medical,Low
NEED MULTIVITAMINS,Medical,Low
pagod na,Medical,Low
gasgas sa kamay,Medical,Low
MAY SAKIT ULO,Medical,Low
nangangalay,Medical,Low
maliit na cut,Medical,Low
NEED PAHINGA,Medical,Low
kagat lamok,Medical,Low
masakit joints,Medical,Low
MAY COTTON PO,Medical,Low
gutom ako,Medical,Low
uhaw ako,Medical,Low
NEED TABLET,Medical,Low
nangangati,Medical,Low
pasa maliit,Medical,Low
TAKOT LANG,Medical,Low
masakit muscle,Medical,Low
saklolo ang kati ng likod ko kamutin mo nga,Medical,Low
tulong naman paki-abot ng tubig uhaw lang,Medical,Low
saklolo nabubulunan ako sa kakatawa,Medical,Low
patay na patay ako sa crush ko,Medical,Low
dinudugo na yung ilong ko sa english mo,Medical,Low
parang mamamatay na ako sa gutom,Medical,Low
patay na kuko lang to wag OA,Medical,Low
dugo dugo gang lang yan sa laro,Medical,Low
masakit ang ulo ko sa math assignment,Medical,Low
sakit sa bangs ng traffic,Medical,Low
may sakit ako pero tinatamad lang pumasok,Medical,Low
masakit na yung panga ko sa kakadaldal,Medical,Low
buntis ako sa busog,Medical,Low
mukha akong buntis sa damit na to,Medical,Low
baby damulag ka talaga,Medical,Low
HINDI MAKADAAN ANG AMBULANSYA SA MARCOS HIGHWAY MAY GUMUHONG FOOTBRIDGE,Logistics,Critical
ubos na ang oxygen tank sa amang rodriguez hospital kailangan ng supply asap,Logistics,Critical
WALANG TUBIG SA EVACUATION CENTER SA NANGKA 500 TAO ANG NANDITO,Logistics,Critical
blocked ang sumulong highway hindi makapasok ang fire truck,Logistics,Critical
KAILANGAN NAMIN NG TRUCK PANG HAKOT NG RESCUE BOATS PAPUNTANG TUMANA,Logistics,Critical
cut off ang kuryente sa ospital wala na ring diesel ang generator,Logistics,Critical
NEED URGENT FOOD SUPPLY SA BARANGKA SCHOOL GUTOM NA MGA BATA,Logistics,Critical
hindi madaanan ang marikina bridge may malaking bitak delikado,Logistics,Critical
UBOS NA ANG GAMOT SA HEALTH CENTER KAILANGAN NG REPLENISHMENT AGAD,Logistics,Critical
stranded ang relief goods sa may sta lucia hindi makagalaw ang traffic,Logistics,Critical
KAILANGAN NG HEAVY EQUIPMENT PANG ALIS NG DEBRIS SA CONCEPCION,Logistics,Critical
walang madaanan papuntang provident nakaharang ang mga poste,Logistics,Critical
CRITICAL WATER SHORTAGE SA SPORTS CENTER EVAC SITE,Logistics,Critical
kailangan ng fuel tanker para sa water pump ng barangay,Logistics,Critical
BLOCKAGE SA GIL FERNANDO AVENUE HINDI MAKADAAN RESCUE VEHICLES,Logistics,Critical
ubos na ang pagkain sa sto nino elementary school evac center,Logistics,Critical
NEED HELICOPTER LANDING ZONE SA OLA HINDI KAYA NG LUPA ANG TRUCK,Logistics,Critical
sira ang kalsada sa calumpang isolated ang area,Logistics,Critical
KAILANGAN NG TRANSPORT PARA SA 50 NA SUGATAN DADALHIN SA OSPITAL,Logistics,Critical
walang supply ng insulin sa health center marami ang nangangailangan,Logistics,Critical
BLOCKED ANG ACCESS ROAD SA INDUSTRIAL VALLEY HINDI MAKAPASOK TULONG,Logistics,Critical
kailangan ng portalet sa evacuation area umaapaw na ang dumi,Logistics,Critical
UBOS NA ANG IV FLUIDS SA CLINIC EMERGENCY,Logistics,Critical
hindi makatawid ang relief truck sa tulay sa tumana gumuho,Logistics,Critical
NEED GENERATOR SET SA COMMAND CENTER WALANG KURYENTE,Logistics,Critical
sarado ang daan sa bayan puno ng debris at sasakyan,Logistics,Critical
KAILANGAN NG BLOOD SUPPLY TYPE O NEGATIVE SA MARIKINA VALLEY MED,Logistics,Critical
walang mainom na tubig ang mga evacuees sa parang,Logistics,Critical
BLOCKED ANG JP RIZAL ST MAY TUMUMBANG PUNO AT POSTE,Logistics,Critical
kailangan ng dump truck para hakutin ang gumuhong pader sa daan,Logistics,Critical
NEED URGENT MEDICAL SUPPLIES GAZE AT ALCOHOL UBOS NA,Logistics,Critical
hindi makapasok ang bumbero sa looban masikip at may harang,Logistics,Critical
ISOLATED ANG AREA NG MALANDAY KAILANGAN NG BOAT PARA SA GOODS,Logistics,Critical
ubos na ang bigas sa community kitchen,Logistics,Critical
KAILANGAN NG CRANE PARA ALISIN ANG BUMAGSAK NA BILLBOARD SA DAAN,Logistics,Critical
walang supply ng gatas para sa mga sanggol sa evac center,Logistics,Critical
BLOCKED ANG KATIPUNAN EXTENSION HINDI GUMAGALAW MGA SASAKYAN,Logistics,Critical
kailangan ng 6x6 truck para makatawid sa baha at putik,Logistics,Critical
NEED OXYGEN REFILL URGENT SA LYING-IN,Logistics,Critical
hindi madaanan ang tulay papuntang san mateo,Logistics,Critical
KAILANGAN NG MGA TENT KULANG ANG SHELTER SA OLA,Logistics,Critical
ubos na ang first aid kit sa barangay hall,Logistics,Critical
BLOCKED ANG LILAC ST MAY GUMUHONG BUILDING SA KALYE,Logistics,Critical
kailangan ng supply ng tubig sa fortune elementary school,Logistics,Critical
NEED FUEL SA RESCUE VEHICLES TIGIL PASADA NA KAMI,Logistics,Critical
hindi makarating ang pagkain sa taas ng bundok,Logistics,Critical
KAILANGAN NG EXTRA AMBULANCE MARAMING CRITICAL SA SITE,Logistics,Critical
walang kuryente sa storage ng vaccines masisira ang gamot,Logistics,Critical
BLOCKED ANG SHOE AVE MAY LUBOG NA LUPA,Logistics,Critical
kailangan ng backhoe sa riverbanks area urgent,Logistics,Critical
NEED FOOD PACKS SA PARANG HIGH SCHOOL 1000 FAMILIES,Logistics,Critical
hindi madaanan ang kalsada sa sss village may sinkhole,Logistics,Critical
KAILANGAN NG TRANSPO PARA SA DIALYSIS PATIENTS,Logistics,Critical
ubos na ang lpg sa kitchen ng evac center di makaluto,Logistics,Critical
BLOCKED ANG A BONIFACIO AVE MAY TUMUMBANG TOWER,Logistics,Critical
kailangan ng water tanker sa concepcion uno,Logistics,Critical
NEED SHELTER MATERIALS TRAPAL AT LUBID,Logistics,Critical
hindi makapasok ang supply truck sa makitid na daan,Logistics,Critical
KAILANGAN NG REFRIGERATED TRUCK PARA SA MEDS,Logistics,Critical
walang supply ng tinapay at biskwit gutom na tao,Logistics,Critical
BLOCKED ANG BAYAN-BAYANAN AVE MAY SUNOG SA GITNA,Logistics,Critical
kailangan ng forklift para sa relief warehouse,Logistics,Critical
NEED COMMUNICATION EQUIPMENT RADYO AT BATTERY,Logistics,Critical
hindi madaanan ang daan papuntang antipolo boundary,Logistics,Critical
KAILANGAN NG HAULER PARA SA MGA BASURA AT DEBRIS,Logistics,Critical
ubos na ang diapers at hygiene kits,Logistics,Critical
BLOCKED ANG GENERAL ORDONEZ ST,Logistics,Critical
kailangan ng lighting equipment sa rescue site madilim,Logistics,Critical
NEED FIRETRUCK PANG SUPPLY NG TUBIG HINDI PANG SUNOG,Logistics,Critical
hindi makatawid ang mga tao sa ilog kailangan bangka,Logistics,Critical
KAILANGAN NG OFF-ROAD VEHICLE SA MABUNDOK NA PARTE,Logistics,Critical
walang supply ng face mask at gloves sa clinic,Logistics,Critical
BLOCKED ANG F MANALO ST,Logistics,Critical
kailangan ng tow truck para sa mga nakaharang na kotse,Logistics,Critical
NEED EMERGENCY LIGHTS SA OSPITAL HALLWAY,Logistics,Critical
hindi makapasok ang delivery ng pagkain,Logistics,Critical
KAILANGAN NG BUS PARA SA MASS EVACUATION,Logistics,Critical
ubos na ang thermal blankets giniginaw mga bata,Logistics,Critical
BLOCKED ANG MAJOR ROADS TOTAL GRIDLOCK,Logistics,Critical
kailangan ng chainsaw para sa mga tumbang puno sa daan,Logistics,Critical
NEED PURIFIED WATER DRINKING ONLY,Logistics,Critical
hindi madaanan ang short cut sa provident,Logistics,Critical
KAILANGAN NG FLATBED TRUCK PARA SA GENERATOR,Logistics,Critical
walang supply ng kandila at flashlight,Logistics,Critical
BLOCKED ANG INTERSECTION SA LAMUAN,Logistics,Critical
kailangan ng heavy lift helicopter,Logistics,Critical
NEED CADAVER BAGS SA MORGUE PUNO NA,Logistics,Critical
hindi makarating ang doctor sa site walang sasakyan,Logistics,Critical
KAILANGAN NG JEEP PARA SA SHUTTLE NG RESCUERS,Logistics,Critical
ubos na ang pagkain sa orphanage,Logistics,Critical
BLOCKED ANG DAAN SA INDUSTRIAL AREA,Logistics,Critical
kailangan ng payloader sa landslide area,Logistics,Critical
NEED HYGIENE KITS SABON AT TOOTHBRUSH,Logistics,Critical
hindi madaanan ang tulay sa nangka unsafe,Logistics,Critical
KAILANGAN NG TRUCK PARA SA PORTABLE TOILETS,Logistics,Critical
walang supply ng gamot sa ubo at lagnat,Logistics,Critical
BLOCKED ANG DAAN PAPUNTANG CEMETERY,Logistics,Critical
kailangan ng amphibian vehicle sa baha,Logistics,Critical
NEED HOT MEALS PARA SA MGA SENIOR,Logistics,Critical
hindi makapasok ang water ration truck,Logistics,Critical
KAILANGAN NG MGA BANIG AT KUTSON,Logistics,Critical
ubos na ang stock sa grocery walang mabili,Logistics,Critical
BLOCKED ANG HIGHWAY SA HARANG NG PULIS,Logistics,Critical
kailangan ng fuel para sa heavy equipment,Logistics,Critical
Hindi makapasok ang truck sa kanto namin motor lang pwede,Logistics,High
paubos na ang pagkain sa center by tomorrow wala na,Logistics,High
sira ang gulong ng rescue van need mechanic,Logistics,High
NEED TRAPAL PARA SA BUBONG UMUULAN NA,Logistics,High
may nakaharang na kotse sa driveway ng clinic pakialis,Logistics,High
kulang ng blankets para sa mga bata nilalamig sila,Logistics,High
DELAYED ANG DELIVERY NG BIGAS NA-STUCK SA TRAFFIC,Logistics,High
kailangan ng chainsaw may puno sa daan,Logistics,High
need flashlight batteries ubos na,Logistics,High
MABAGAL ANG USAD SA TULAY ONE LANE ONLY,Logistics,High
kailangan ng pala at piko panghukay,Logistics,High
limited water supply 1 bottle per family na lang,Logistics,High
SIRA ANG RADIATOR NG TRUCK TUMITIRIK,Logistics,High
need folding beds para sa mga matatanda,Logistics,High
may nakatambak na basura sa daanan ng tao,Logistics,High
KULANG SA STAFF ANG KITCHEN NEED VOLUNTEERS,Logistics,High
kailangan ng tali at lubid pang secure,Logistics,High
paubos na ang gas ng generator need refill soon,Logistics,High
NEED MGA DAMIT BASA LAHAT NG GAMIT NAMIN,Logistics,High
hindi magkasya ang truck sa eskinita kailangan ilipat sa tricycle,Logistics,High
may butas ang water tank tumatagas,Logistics,High
KULANG NG PLATO AT KUTSARA SA FEEDING,Logistics,High
need extension cords para sa charging station,Logistics,High
traffic sa evacuation route dahil sa usisero,Logistics,High
KAILANGAN NG MGA SACK PARA SA BUHANGIN,Logistics,High
paubos na ang gatas ng bata,Logistics,High
sira ang head light ng ambulance delikado,Logistics,High
NEED RAINCOATS PARA SA MGA TANOD,Logistics,High
may nakaharang na tricycle sa daan,Logistics,High
kulang ang portalet mahaba pila,Logistics,High
DELAYED ANG RASYON GUTOM NA KAMI,Logistics,High
kailangan ng martilyo at pako pang repair,Logistics,High
need soap and water panghugas,Logistics,High
PASIRA NA ANG TENT NEED REPLACEMENT,Logistics,High
kailangan ng megaphone para sa announcement,Logistics,High
limited access sa brgy hall baha sa harap,Logistics,High
NEED EXTRA TIRES NA-FLAT YUNG SERVICE,Logistics,High
may nakatumbang bakod sa sidewalk,Logistics,High
kulang sa personnel ang distribution,Logistics,High
NEED CAN OPENERS WALANG MABUKSAN NG LATA,Logistics,High
paubos na ang alcohol sa entrance,Logistics,High
sira ang wiper ng van di makabyahe sa ulan,Logistics,High
NEED BOOTS PANG SUONG SA PUTIK,Logistics,High
may debris sa gitna ng kalsada pero kaya iwasan,Logistics,High
kulang ang relief goods sa listahan,Logistics,High
DELAYED ANG TUBIG UHAW NA,Logistics,High
kailangan ng gunting at tape sa medical,Logistics,High
need cooking oil at asin,Logistics,High
TRAFFIC SA CHECKPOINT MABAGAL,Logistics,High
kailangan ng helmet para sa safety,Logistics,High
limited parking sa staging area,Logistics,High
SIRA ANG LOCK NG WAREHOUSE,Logistics,High
need plastic bags para sa relief,Logistics,High
may nakaharang na sanga sa daan,Logistics,High
KULANG NG TAO TAGA BUHAT,Logistics,High
need chargers para sa radio,Logistics,High
paubos na ang noodles,Logistics,High
sira ang preno ng motor,Logistics,High
NEED UMBRELLAS SA PILA,Logistics,High
may lubak sa daan dahan dahan lang,Logistics,High
kulang ang upuan sa waiting area,Logistics,High
DELAYED ANG DATING NG DOKTOR,Logistics,High
kailangan ng walis at dustpan,Logistics,High
need sanitary napkins,Logistics,High
TRAFFIC SA PALENGKE,Logistics,High
kailangan ng gloves pang safety,Logistics,High
limited space sa truck,Logistics,High
SIRA ANG SUSI NG VAN,Logistics,High
need markers at pentel pen,Logistics,High
may nakaharang na bato,Logistics,High
KULANG NG VOLUNTEERS,Logistics,High
need paper cups and plates,Logistics,High
paubos na ang kape,Logistics,High
sira ang side mirror,Logistics,High
NEED BATTERIES AA AAA,Logistics,High
may putik sa daan madulas,Logistics,High
kulang ang tents,Logistics,High
DELAYED ANG TRUCK,Logistics,High
kailangan ng pliers,Logistics,High
need shampoo,Logistics,High
TRAFFIC SA LOOB,Logistics,High
kailangan ng hard hat,Logistics,High
limited fuel,Logistics,High
SIRA ANG CLUTCH,Logistics,High
need boxes,Logistics,High
may harang,Logistics,High
KULANG STAFF,Logistics,High
need spoons,Logistics,High
paubos na gas,Logistics,High
sira gulong,Logistics,High
NEED TENTS,Logistics,High
may baha,Logistics,High
kulang goods,Logistics,High
DELAYED,Logistics,High
kailangan tools,Logistics,High
need soap,Logistics,High
TRAFFIC,Logistics,High
kailangan vest,Logistics,High
limited water,Logistics,High
SIRA MAKINA,Logistics,High
need rope,Logistics,High
may debris,Logistics,High
Anong oras po darating ang rasyon ng tubig?,Logistics,Medium
pwede po makahingi ng extra kumot nilalamig lola ko,Logistics,Medium
medyo traffic sa tulay pero umuusad naman,Logistics,Medium
NEED SLIPPERS NAPUTOL YUNG TSINELAS KO,Logistics,Medium
may available po bang charging station dito?,Logistics,Medium
pahingi po ng karton pang sapin sa higaan,Logistics,Medium
SAAN PO PWEDE KUMUHA NG RELIEF GOODS?,Logistics,Medium
kulang po ng isa yung binigay na food pack,Logistics,Medium
need toothpaste ubos na po kasi,Logistics,Medium
BUKAS PO BA ANG PALENGKE SA BAYAN?,Logistics,Medium
kailangan namin ng posporo o lighter,Logistics,Medium
may dadaanan po bang truck papuntang cubao?,Logistics,Medium
NEED PANG-IGIB NA BALDE WALA KAMING LALAGYAN,Logistics,Medium
saan po ang pila ng medical mission?,Logistics,Medium
pahingi po ng extra tubig panghugas lang,Logistics,Medium
TRAFFIC PO BA SA MARCOS HIGHWAY NGAYON?,Logistics,Medium
kulang po ng sardinas yung pack,Logistics,Medium
need underwear kung meron po donation,Logistics,Medium
KAILAN PO MAGKAKAKURYENTE ULIT?,Logistics,Medium
may libreng tawag po ba o wifi?,Logistics,Medium
kailangan namin ng sabon panlaba,Logistics,Medium
pwede po makihiram ng charger type c?,Logistics,Medium
NEED UNAN MASAKIT NA LEEG KO,Logistics,Medium
saan po pwede mag-park malapit sa center?,Logistics,Medium
pahingi po ng diaper size large,Logistics,Medium
BUKAS NA PO BA ANG JEEP BYAHE?,Logistics,Medium
kulang po ng tinidor yung pagkain,Logistics,Medium
need towel basang basa na kami,Logistics,Medium
KAILAN PO ANG NEXT NA BIGAYAN?,Logistics,Medium
may available po bang gamot sa ubo?,Logistics,Medium
kailangan namin ng mosquito net o katol,Logistics,Medium
pwede po makisabay sa truck palabas?,Logistics,Medium
NEED SHAMPOO KAHIT SACHET LANG,Logistics,Medium
saan po ang cr dito sa area?,Logistics,Medium
pahingi po ng plastic bag pang basura,Logistics,Medium
BUKAS PO BA ANG BOTIKA?,Logistics,Medium
kulang po yung tubig na nakuha namin,Logistics,Medium
need feminine wash kung meron,Logistics,Medium
KAILAN PO KAMI PWEDE UMUWI?,Logistics,Medium
may donation drive po ba dyan?,Logistics,Medium
kailangan namin ng sipilyo,Logistics,Medium
pwede po makahingi ng mainit na tubig?,Logistics,Medium
NEED SOCKS GINIGINAW PAA KO,Logistics,Medium
saan po pwede mag-report ng nawawala?,Logistics,Medium
pahingi po ng biscuit pangtawid gutom,Logistics,Medium
TRAFFIC PO BA SA LILAC?,Logistics,Medium
kulang po ng bigas,Logistics,Medium
need cotton buds,Logistics,Medium
KAILAN PO DATING NG TRUCK?,Logistics,Medium
may signal po ba dyan?,Logistics,Medium
kailangan namin ng walis,Logistics,Medium
pwede po makihiram ng radyo?,Logistics,Medium
NEED COMB MAGULO BUHOK,Logistics,Medium
saan po ang exit?,Logistics,Medium
pahingi po ng kape,Logistics,Medium
BUKAS NA BA TULAY?,Logistics,Medium
kulang po ang kape,Logistics,Medium
need deodorant,Logistics,Medium
KAILAN PO MAGKAKATUBIG?,Logistics,Medium
may libreng sakay ba?,Logistics,Medium
kailangan namin ng timba,Logistics,Medium
pwede po makigamit ng phone?,Logistics,Medium
NEED NAIL CUTTER,Logistics,Medium
saan po ang admin?,Logistics,Medium
pahingi po ng asukal,Logistics,Medium
TRAFFIC SA PARANG?,Logistics,Medium
kulang ang ulam,Logistics,Medium
need baby powder,Logistics,Medium
KAILAN PO ALIS NAMIN?,Logistics,Medium
may doctor po ba?,Logistics,Medium
kailangan namin ng tabo,Logistics,Medium
pwede po makibalita?,Logistics,Medium
NEED MIRROR,Logistics,Medium
saan po pila?,Logistics,Medium
pahingi po suka,Logistics,Medium
BUKAS BA MALL?,Logistics,Medium
kulang ang sabaw,Logistics,Medium
need tissue paper,Logistics,Medium
KAILAN PO REFILL?,Logistics,Medium
may pulis po ba?,Logistics,Medium
kailangan namin plato,Logistics,Medium
pwede po tanong?,Logistics,Medium
NEED PAJAMA,Logistics,Medium
saan po opisina?,Logistics,Medium
pahingi po asin,Logistics,Medium
TRAFFIC SA NANGKA?,Logistics,Medium
kulang ang tinapay,Logistics,Medium
need alcohol,Logistics,Medium
KAILAN PO DISTRIBUTION?,Logistics,Medium
may tanod po ba?,Logistics,Medium
kailangan namin kutsara,Logistics,Medium
pwede po silip?,Logistics,Medium
NEED TSHIRT,Logistics,Medium
saan po mayor?,Logistics,Medium
pahingi po toyo,Logistics,Medium
BUKAS BA SIMBAHAN?,Logistics,Medium
kulang ang itlog,Logistics,Medium
need facemask,Logistics,Medium
KAILAN PO BALIK?,Logistics,Medium
may nurse po ba?,Logistics,Medium
kailangan namin baso,Logistics,Medium
pwede po pasok?,Logistics,Medium
Tuloy ba ang delivery ng shopee o lazada ngayon?,Logistics,Low
bukas po ba ang starbucks sa mall?,Logistics,Low
sayang yung ice cream sa ref natunaw na,Logistics,Low
NEED KO NG LOAD PANG MOBILE LEGENDS,Logistics,Low
san makakabili ng yosi dito?,Logistics,Low
ang init naman dito sa tent walang aircon,Logistics,Low
BUKAS PO BA ANG GYM SAYANG MEMBERSHIP,Logistics,Low
may grab food ba na nagde-deliver?,Logistics,Low
need ko ng hair wax nasira porma ko,Logistics,Low
MAY NETFLIX PO BA SA EVACUATION CENTER?,Logistics,Low
saan may bukas na salon magpapakulay ako,Logistics,Low
sayang yung ticket ko sa sinehan,Logistics,Low
NEED KO NG BAGONG PHONE CASE NABASAG,Logistics,Low
may nagbebenta ba ng milk tea dito?,Logistics,Low
ang ingay naman ng katabi ko matulog,Logistics,Low
BUKAS PO BA ANG SPA NEED MASSAGE,Logistics,Low
saan makakabili ng beer pang inom?,Logistics,Low
need ko ng bagong sapatos pang porma,Logistics,Low
MAY WIFI PASSWORD PO BA KAYO?,Logistics,Low
sayang yung out of town trip namin,Logistics,Low
need ko ng make-up remover,Logistics,Low
